event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,1/1/1970,1/1/1970,NOT APPLICABLE
1,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/15/2015,1/15/2015,Vancouver
2,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/16/2015,1/16/2015,Vancouver
3,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/19/2015,1/19/2015,Vancouver
4,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/20/2015,1/20/2015,Vancouver
5,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/27/2015,1/27/2015,Vancouver
6,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/30/2015,1/30/2015,Vancouver
7,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/1/2015,2/1/2015,Vancouver
8,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/3/2015,2/3/2015,Vancouver
9,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/5/2015,2/5/2015,Vancouver
10,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/7/2015,2/7/2015,Vancouver
11,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/9/2015,2/9/2015,Vancouver
12,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/11/2015,2/11/2015,Vancouver
13,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/13/2015,2/13/2015,Vancouver
14,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/14/2015,2/14/2015,Vancouver
15,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/16/2015,2/16/2015,Vancouver
16,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/19/2015,2/19/2015,Vancouver
17,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/20/2015,2/20/2015,Vancouver
18,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/22/2015,2/22/2015,Vancouver
19,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/24/2015,2/24/2015,Vancouver
20,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/26/2015,2/26/2015,Vancouver
21,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/1/2015,3/1/2015,Vancouver
22,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/3/2015,3/3/2015,Vancouver
23,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/5/2015,3/5/2015,Vancouver
24,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/7/2015,3/7/2015,Vancouver
25,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/9/2015,3/9/2015,Vancouver
26,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/12/2015,3/12/2015,Vancouver
27,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/14/2015,3/14/2015,Vancouver
28,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/17/2015,3/17/2015,Vancouver
29,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/19/2015,3/19/2015,Vancouver
30,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/21/2015,3/21/2015,Vancouver
31,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/22/2015,3/22/2015,Vancouver
32,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/24/2015,3/24/2015,Vancouver
33,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/26/2015,3/26/2015,Vancouver
34,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/28/2015,3/28/2015,Vancouver
35,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/30/2015,3/30/2015,Vancouver
36,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/31/2015,3/31/2015,Vancouver
37,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/2/2015,4/2/2015,Vancouver
38,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/4/2015,4/4/2015,Vancouver
39,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/6/2015,4/6/2015,Vancouver
40,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/9/2015,4/9/2015,Vancouver
41,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/11/2015,4/11/2015,Vancouver
42,Spread The Word Music Festival,music,"4603 Humboldt St, Denver, CO 80216",55500,5/5/2015,5/8/2015,Denver
43,Greeley Blues Jam,music,"504 N 14th Ave, Greeley, CO 80631",,6/9/2015,6/10/2015,Denver
44,Taste of Fort Collins,music,"Civic Center Park, Fort Collins, Colorado",,6/9/2015,6/9/2015,Denver
45,Sonic Bloom Festival,music,"Hummingbird Ranch, Colorado",,6/15/2015,6/18/2015,Denver
46,Telluride Bluegrass Festival,music,"Telluride Town Park 500 E Colorado Ave Telluride, CO",,6/15/2015,6/18/2015,Denver
47,international jazz festival ,music ,"751 Hornby St, Vancouver, BC V6Z 2H7",46000,6/18/2015,7/1/2015,vancourver
48,Westword Music Showcase,music,"1080-1098 Acoma St, Denver, CO 80207",,6/25/2015,6/25/2015,Denver
49,The Ride Festival,music,"503 E Colorado Ave, Telluride, CO 81435",,7/8/2015,7/9/2015,Denver
50,folk music festival,music ," 3942 Point Grey Rd, Vancouver, BC V6R 1B5",38000,7/17/2015,7/19/2015,vancourver
51,The Underground Music Showcase,music,"downtown,Denver, Colorado",,7/27/2015,7/30/2015,Denver
52,Squamish Valley Music Festival,music ,"1009 Centennial Way, Squamish, BC V8B 0E2",120000,8/7/2015,8/9/2015,vancourver
53,FoCoMX,music,"Fort Collins, CO 80527",48000,8/28/2015,8/29/2015,Denver
54,Jazz Aspen Snowmass,music,"113 E Hallam St # 104, Aspen, CO 81611",,9/1/2015,9/3/2015,Denver
55,Rifflandia Music Festival,music ,"Victoria, British Columbia",12500,9/17/2015,9/20/2015,vancourver
56,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/7/2015,10/7/2015,Vancouver
57,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/10/2015,10/10/2015,Vancouver
58,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/12/2015,10/12/2015,Vancouver
59,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/13/2015,10/13/2015,Vancouver
60,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/16/2015,10/16/2015,Vancouver
61,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/18/2015,10/18/2015,Vancouver
62,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/22/2015,10/22/2015,Vancouver
63,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/24/2015,10/24/2015,Vancouver
